Name,Role,Win %,Pick %,Ban %,Kills,Deaths,Assists,KDA,Damage Dealt,Damage Taken,Healing Done,Largest Spree,Minions Killed,Own Jungle Monsters,Enemy Jungle Monsters,Gold
Veigar,Support,50.31,0.43,0.24,3.61,6.22,12.58,2.6,11551,17527,1320,1.5,35.4,0.75,0.43,9767
Alistar,Support,44.5,4.36,0.12,1.42,5.71,14.37,2.77,7005,29917,11222,0.44,40.9,0.27,0.23,8994
Lulu,Support,47.69,3.48,0.08,1.76,5.82,14.23,2.75,9501,18696,1042,0.64,26.2,0.34,0.38,9670
Vel'Koz,Support,50.02,2.8,0.17,4.19,6.8,11.54,2.31,22005,17485,853,1.78,48.1,1.24,0.74,10700
Lux,Support,48.11,1.13,0.09,3.93,6.45,12.87,2.6,17026,15027,716,1.71,46.3,0.95,0.6,10360
Sona,Support,52.06,8.49,0.18,2.61,6.29,15.24,2.84,13548,18663,8897,1.07,18.9,0.33,0.37,10014
Nami,Support,49.61,8.82,0.05,1.56,5.43,15.93,3.22,9174,17620,9226,0.55,13.6,0.13,0.16,9639
Braum,Support,50.01,11.12,1.61,1.56,5.76,15.63,2.98,8528,26820,3449,0.54,42.4,0.17,0.29,9246
Annie,Support,47.88,7.86,6.05,3.68,7.39,11.14,2.01,15461,18374,788,1.44,35.3,0.8,0.54,9868
Blitzcrank,Support,54.03,20.93,5.28,2.42,6.14,14.21,2.71,10870,25041,2671,0.94,35.1,0.32,0.49,9604
Morgana,Support,49.73,20.49,20.04,2.42,6.37,14.38,2.64,13096,19450,805,0.93,30.3,0.54,0.48,10136
Janna,Support,53.14,26.69,5.99,1,4.64,16.01,3.67,5446,17039,5271,0.31,14.1,0.1,0.15,9373
Leona,Support,52.78,28.43,5.67,2.03,6.06,14.73,2.77,9042,26188,3303,0.74,44.5,0.2,0.26,9369
Thresh,Support,48,37.47,1.9,1.89,6.23,15.04,2.72,8603,23780,2525,0.68,32.3,0.21,0.27,9125
